15,Vedaville college,4,2459 Stanton Unions,Vedaville,WY,68783,A college in Vedaville,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
16,Hilton's Coffee Shop,2,984 Bergnaum Key,New Amani,VA,26578,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
17,Golf,6,4409 Tessie Views,New Magaliton,RI,97056,Local Golf Course,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
18,Trenton's Coffee Shop,2,216 Jaron Tunnel,Daynafurt,AL,99042,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
19,BikingTrail,6,188 Ledner Ville,Beerland,WV,81444,local Biking Trail,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
20,BestBuy,6,1109 Stehr Street,Lake Tommieton,MS,69521,BestBuy is a retailer that sells electronics,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
21,Diego's Coffee Shop,2,866 Shields Corner,Carissamouth,VA,20233,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
22,McGlynn Park,5,4757 Steuber Turnpike,East Quinnside,NC,13243,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
23,BikingTrail,6,52823 Joy Squares,Vladimirtown,WI,83771,local Biking Trail,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
24,Mayer Park,5,59184 Flatley Street,Conroyhaven,MT,31799,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
25,Lake Norrisside college,4,42468 Harris Locks,Lake Norrisside,NH,58995,A college in Lake Norrisside,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
26,Timor-Leste Cuisine,1,02823 Roberts Manor,Kimberlyton,NE,73121,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
27,Mariofurt college,4,00469 Katelynn Fork,Mariofurt,MN,23635,A college in Mariofurt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
28,Gislason Park,5,50763 Eric Vista,Eichmannberg,MO,41804,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
29,Norwoodburgh college,4,744 Upton Springs,Norwoodburgh,VT,33922,A college in Norwoodburgh,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
30,BikingTrail,6,09331 Norris Valleys,Tomasburgh,OH,74605,local Biking Trail,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
31,Tunisia Cuisine,1,327 Smitham Plains,Andersonfort,SC,38171,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
32,HomeDepot,6,212 Streich Via,Arianechester,IL,56924,HomeDepot is a retailer that sells hardware,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
33,Celestineburgh college,4,47998 Jacques Ports,Celestineburgh,SD,63437,A college in Celestineburgh,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
34,HikingTrail,6,9532 Mohr Route,Kaseyfurt,IA,46045,Local Hiking Trail,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
35,Port Aron college,4,029 Harber Passage,Port Aron,MD,51607,A college in Port Aron,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
36,Port Tiffanyview college,4,22690 Fadel Trafficway,Port Tiffanyview,ID,48882,A college in Port Tiffanyview,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
37,MiniGolf,6,267 Brittany Fort,Port Juneton,SD,25489,Local Mini Golf,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
38,Jeanie's Coffee Shop,2,61025 Hartmann Ford,Felicityburgh,NY,86568,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
39,Bode Park,5,910 Oberbrunner Village,Reaganchester,VA,47429,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
40,Target,6,6924 Nayeli Village,West Kenneth,ME,31485,Target is a retailer that sells a variety of goods,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
41,Cummerata Park,5,91345 Cartwright Turnpike,South Eddchester,SC,91457,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
42,Luettgen Park,5,72521 Pablo Crest,Port Noble,WV,63739,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
43,O'Kon Park,5,77245 Adams Plains,North Alexandrostad,ME,21110,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
44,Belarus Cuisine,1,6097 Dietrich Passage,South Keshawn,UT,93224,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
45,Port Monserratborough college,4,2203 Gaylord Keys,Port Monserratborough,ID,79504,A college in Port Monserratborough,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
46,HyVee,6,07436 Kuphal Spur,Port Ethan,MA,27848,HyVee is a retailer that sells groceries,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
47,Isle of Man Cuisine,1,0031 Johnston Village,North Orrinton,NV,42538,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
48,RecreationCenter,6,1195 Kiehn Springs,Janessastad,VA,23200,Local Recreation Center,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
49,Ace,6,61859 Bud Valleys,East Adelbert,TX,33393,Ace is a retailer that sells hardware,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
50,Lake Albertaview college,4,322 Jaron Ports,Lake Albertaview,ID,15953,A college in Lake Albertaview,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
51,Muller Park,5,6893 Cummings Ridge,Brauliostad,OR,75213,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
52,Solomon Islands Cuisine,1,461 Reynolds Port,Sabrinashire,AZ,37730,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
53,Gastonfort college,4,261 Thompson Canyon,Gastonfort,WV,73891,A college in Gastonfort,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
54,North Kimtown college,4,35517 Ahmed Mews,North Kimtown,WV,17515,A college in North Kimtown,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
55,Tillmanshire college,4,927 Edyth Garden,Tillmanshire,MA,38972,A college in Tillmanshire,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
56,Gap,6,674 Kuhic Common,New Scotty,TN,21596,Gap is a retailer that sells clothing,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
57,Bayer Park,5,64274 Ewald Drive,Edwardoshire,RI,99112,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
58,Kuvalisside college,4,701 Hilpert Islands,Kuvalisside,AZ,63882,A college in Kuvalisside,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
59,HyVee,6,97467 Melyssa Extension,Doyleland,CA,50731,HyVee is a retailer that sells groceries,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
60,Abernathy Park,5,640 Royal Street,East Lois,OK,92306,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
61,Virgin Islands, British Cuisine,1,423 Josefa Ports,South Daniela,KS,65883,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
62,Barney's Coffee Shop,2,402 Strosin Ramp,North Isabellaview,KS,81999,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
63,Kroger,6,91725 Olin Shoal,Lake Karliton,AL,67202,Kroger is a retailer that sells groceries,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
64,Sri Lanka Cuisine,1,0596 Wilderman Locks,Beerview,UT,19632,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
65,Cambodia Cuisine,1,1898 Nienow Islands,North Maribelberg,AR,88232,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
66,Quigleyport college,4,40388 Pollich Cove,Quigleyport,TX,36777,A college in Quigleyport,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
67,FairGrounds,6,81447 Crystal Squares,Robertborough,UT,58591,Local Fair Grounds,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
68,Central African Republic Cuisine,1,458 Thiel Tunnel,Towneview,MA,20648,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
69,Montenegro Cuisine,1,1273 Hudson Walks,Lake Josephineside,KS,30145,Local Resteraunt,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
70,Menards,6,0180 Maggio Unions,Port Jason,NC,20184,Menards is a retailer that sells hardware,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
71,CVS,6,827 Charles Motorway,New Everardohaven,CO,71062,CVS is a retailer that sells a variety of wellness goods,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
72,DollarTree,6,26646 Schuppe Isle,South Santiagoshire,AL,57146,DollarTree is a retailer that sells a variety of cheaper goods,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
73,Langworth Park,5,6480 Lavina Trafficway,New Eulah,PA,89385,City maintained park,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
74,South Josefaport college,4,475 Hermiston Bypass,South Josefaport,KS,10707,A college in South Josefaport,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
75,Kyra's Coffee Shop,2,546 O'Keefe Street,South Kurt,VA,17358,Local Coffee Shop,4/28/2022 3:14:59 PM,4/28/2022 3:14:59 PM
